DoD,OCV at -40C,OCV at -20C,OCV at 0C,OCV at 10C,OCV at 25C,OCV at 35C,OCV at 45C,OCV at 55C,OCV at 85C
0.1081,3.158470274,3.596211924,3.925227246,4.048962534,4.1836,4.239381333,4.267981085,4.269399254,4.110564271
3.923,3.120269061,3.552716292,3.877752225,3.999990953,4.133,4.188106667,4.216360508,4.217761525,4.060847627
8.1327,3.093392318,3.522114623,3.844350826,3.96553664,4.0974,4.152032,4.180042475,4.181431424,4.025869119
12.4566,3.069837419,3.495295182,3.815077691,3.935340725,4.0662,4.120416,4.148213186,4.149591559,3.995213797
16.6853,3.043111669,3.464865432,3.781863941,3.901079975,4.0308,4.084544,4.112099186,4.113465559,3.960431797
20.9138,3.016461416,3.434521642,3.748744015,3.866916006,3.9955,4.048773333,4.076087203,4.07744161,3.925748051
25.2977,2.995322405,3.410452913,3.722473252,3.839817108,3.9675,4.0204,4.047522458,4.048867373,3.898236864
29.6908,2.974711869,3.386985903,3.696859258,3.813395682,3.9402,3.992736,4.019671831,4.021007492,3.871413458
34.0975,2.954705304,3.36420657,3.671995858,3.787748511,3.9137,3.965882667,3.992637339,3.993964017,3.845376085
38.527,2.935680194,3.342544714,3.648352172,3.763359502,3.8885,3.940346667,3.966929068,3.968247203,3.820616017
42.9578,2.916730581,3.320968818,3.624802309,3.739067275,3.8634,3.914912,3.941322814,3.942632441,3.795954203
47.3746,2.897176995,3.298705244,3.600501854,3.714000794,3.8375,3.888666667,3.914900424,3.916201271,3.770506356
51.8723,2.881775715,3.281169456,3.581361727,3.694257311,3.8171,3.867994667,3.894088966,3.895382898,3.750462492
56.4601,2.873320111,3.271541964,3.570853422,3.683417752,3.8059,3.856645333,3.882663068,3.883953203,3.739458017
61.0349,2.863807556,3.260711036,3.559031578,3.671223248,3.7933,3.843877333,3.869808932,3.871094797,3.727077983
65.6124,2.855125462,3.250825665,3.548241801,3.660093343,3.7818,3.832224,3.858076983,3.859358949,3.715778746
70.2265,2.850520177,3.245582121,3.542518528,3.654189655,3.7757,3.826042667,3.851853949,3.853133847,3.709785237
74.7976,2.840252657,3.233891595,3.529758443,3.641027333,3.7621,3.812261333,3.837979644,3.839254932,3.696422661
79.3447,2.828248719,3.220223996,3.514840403,3.62563903,3.7462,3.796149333,3.821758949,3.823028847,3.680800237
83.872,2.81518783,3.20535296,3.498608824,3.608895782,3.7289,3.778618667,3.804110017,3.805374051,3.663802254
88.3692,2.800164032,3.18824697,3.479937818,3.589636208,3.709,3.758453333,3.783808644,3.785065932,3.644249661
92.6459,2.77691112,3.161771369,3.451039979,3.559827419,3.6782,3.727242667,3.752387424,3.753634271,3.613987356
96.737,2.750109874,3.131255659,3.417732405,3.525469888,3.6427,3.691269333,3.716171407,3.71740622,3.579107102
98.9116,2.69160011,3.064636856,3.345018686,3.450464008,3.5652,3.612736,3.637108271,3.638316814,3.502960068
99.8919,2.627126126,2.991227233,3.26489286,3.367812369,3.4798,3.526197333,3.549985797,3.55116539,3.419050949
