time	Vehicle Speed (mph)	Acceleration	Current
0	0	0	0.001
1	0	0	0.001
2	0	0	0.001
3	0	0	0.001
4	0	0	0.001
5	0	0	0.001
6	0	0	0.001
7	0	0	0.001
8	0	0	0.001
9	0	0	0.001
10	0	0	0.001
11	0	0	0.001
12	0	0	0.001
13	0	0	0.001
14	0	0	0.001
15	0	0	0.001
16	0	0	0.001
17	0	0	0.001
18	0	0	0.001
19	0	0	0.001
20	0	0	0.001
21	0	0	0.001
22	0	0	0.001
23	0	0	0.001
24	0	0	0.001
25	0	0	0.001
26	0	0	0.001
27	0	0	0.001
28	0	0	0.001
29	0	0	0.001
30	1.2	1.2	0.841
31	4.2	3	6.721
32	7.3	3.1	12.046
33	8.8	1.5	7.481
34	10.8	2	11.881
35	12.3	1.5	10.456
36	13.1	0.8	6.551
37	12.3	-0.8	-1.229
38	12.3	0	1.231
39	11.5	-0.8	-1.149
40	11.5	0	1.151
41	11.1	-0.4	0.001
42	11.1	0	1.111
43	11.1	0	1.111
44	13.1	2	14.411
45	15	1.9	15.751
46	16.9	1.9	17.746
47	16.9	0	1.691
48	16.1	-0.8	-1.609
49	15.7	-0.4	0.001
50	15.4	-0.3	0.386
51	15	-0.4	0.001
52	13.8	-1.2	-2.759
53	10.8	-3	-7.019
54	8.4	-2.4	-4.199
55	6.1	-2.3	-2.8965
56	4.2	-1.9	-1.574
57	3.5	-0.7	-0.2615
58	3.5	0	0.351
59	1.5	-2	-0.599
60	0	-1.5	0.001
61	0	0	0.001
62	0	0	0.001
63	0	0	0.001
64	0	0	0.001
65	0	0	0.001
66	0	0	0.001
67	0	0	0.001
68	0	0	0.001
69	0	0	0.001
70	0	0	0.001
71	0	0	0.001
72	1.2	1.2	0.841
73	3.5	2.3	4.376
74	7.7	4.2	16.941
75	11.1	3.4	19.981
76	13.8	2.7	20.011
77	16.5	2.7	23.926
78	18.4	1.9	19.321
79	20.4	2	22.441
80	20.7	0.3	5.176
81	19.6	-1.1	-3.429
82	17.3	-2.3	-8.2165
83	12.3	-5	-14.144
84	8.1	-4.2	-7.694
85	6.1	-2	-2.439
86	9.6	3.5	17.761
87	12.7	3.1	20.956
88	15.7	3	25.121
89	18	2.3	22.501
90	20.4	2.4	26.521
91	21.9	1.5	18.616
92	23.4	1.5	19.891
93	23.8	0.4	7.141
94	24.6	0.8	12.301
95	25	0.4	7.501
96	26.1	1.1	16.966
97	26.1	0	2.611
98	26.9	0.8	13.451
99	26.9	0	2.691
100	26.9	0	2.691
101	26.5	-0.4	0.001
102	25.7	-0.8	-2.569
103	21.9	-3.8	-18.614
104	16.5	-5.4	-20.624
105	10	-6.5	-15.249
106	4.6	-5.4	-5.749
107	1.5	-3.1	-1.0115
108	0.4	-1.1	-0.069
109	0	-0.4	0.001
110	0	0	0.001
111	0	0	0.001
112	0	0	0.001
113	0	0	0.001
114	0	0	0.001
115	0	0	0.001
116	0	0	0.001
117	0.4	0.4	0.121
118	1.2	0.8	0.601
119	1.9	0.7	0.856
120	3.8	1.9	3.991
121	7.7	3.9	15.786
122	11.5	3.8	23.001
123	14.6	3.1	24.091
124	18	3.4	32.401
125	21.5	3.5	39.776
126	25	3.5	46.251
127	28.4	3.4	51.121
128	30.7	2.3	38.376
129	31.9	1.2	22.331
130	32.3	0.4	9.691
131	32.3	0	3.231
132	31.9	-0.4	0.001
133	30.3	-1.6	-9.089
134	28	-2.3	-13.299
135	24.2	-3.8	-20.569
136	20	-4.2	-18.999
137	16.1	-3.9	-14.0865
138	11.5	-4.6	-12.074
139	8.1	-3.4	-6.074
140	5	-3.1	-3.374
141	3.5	-1.5	-0.9615
